Type,Tester,Delay,Lossrate,20,1'40,3',4'20,5'40,7',8'20,9'40,11',12'20,13¡¯40,15',16'20,17'40,19',20'20,21'40,23'
Verification,6,450,0.4,4,4,3,3,2,3,2,2,2,1,1,,,,,,,
Verification,7,450,0.4,3,3,4,3,3,3,2,2,2,1,,,,,,,,
Verification,8,450,0.4,4,4,3,3,3,2,2,2,1,2,1,,,,,,,
Verification,9,450,0.4,3,3,4,3,2,2,2,2,1,1,2,1,,,,,,
Verification,10,450,0.4,4,4,3,3,3,2,3,2,2,1,1,,,,,,,
Model,1,450,0.6,4,4,4,3,3,3,3,3,2,2,2,1,,,,,,
Model,2,450,0.6,4,4,4,3,3,3,3,2,2,2,1,2,1,,,,,
Model,3,450,0.6,2,2,2,2,2,1,1,1,1,1,,,,,,,,
Model,4,450,0.6,3,3,4,3,3,2,2,2,1,1,1,2,1,,,,,
Model,5,450,0.6,4,4,3,4,3,3,2,2,2,1,1,1,,,,,,
Verification,6,450,0.6,3,4,3,3,3,2,2,1,1,1,1,1,1,,,,,
Verification,7,450,0.6,3,3,3,2,3,2,2,2,1,1,2,1,,,,,,
Verification,8,450,0.6,4,3,3,3,2,2,2,1,1,1,,,,,,,,
Verification,9,450,0.6,3,3,2,3,2,2,2,1,1,1,1,,,,,,,
Verification,10,450,0.6,3,3,3,2,2,2,1,2,2,1,1,1,,,,,,
Model,1,450,0.8,3,3,2,2,2,2,2,2,1,1,1,,,,,,,
Model,2,450,0.8,3,2,3,3,2,2,2,1,1,1,1,,,,,,,
Model,3,450,0.8,2,3,2,2,2,1,1,1,1,1,1,,,,,,,
Model,4,450,0.8,3,3,2,2,2,1,1,1,1,1,1,,,,,,,
Model,5,450,0.8,3,3,3,2,2,2,1,1,1,1,,,,,,,,
Verification,6,450,0.8,3,3,2,3,2,2,2,1,1,1,1,1,1,,,,,
Verification,7,450,0.8,3,3,3,2,2,2,1,1,1,1,,,,,,,,
Verification,8,450,0.8,3,2,3,2,2,1,1,1,1,1,1,1,1,,,,,
Verification,9,450,0.8,3,3,3,2,2,2,1,1,1,1,1,,,,,,,
Verification,10,450,0.8,2,3,2,2,2,1,1,1,1,1,1,,,,,,,
